ID	ALIGNMENT	COGID	CONCEPT	DOCULECT	FORM	NOTE	TOKENS	TYPE
1151	dʰ .	576	< (shang)	Zhou		?	dʰ .	2 shang
1152	d .	576	< (shang)	Baxter		?	d .	2 shang
1153	kʰ ĭ	577	? (shang)	Zhou		?	kʰ ĭ	2 shang
1154	kh j	577	? (shang)	Baxter		?	kh j	2 shang
1691	. əu . ˩˥	846	a (xia)	Zhou		?	. əu . ˩˥	2 xia
1692	. uw . H	846	a (xia)	Baxter		?	. uw . H	2 xia
209	w a . ˩˥	105	㕦 (xia)	Zhou	ʔwa˩˥	?	w a . ˩˥	0 xia
210	w æ . H	105	㕦 (xia)	Baxter	ʔwa˩˥	?	w æ . H	0 xia
1693	ĭ a ŋ ˥	847	㢡 (xia)	Zhou		?	ĭ a ŋ ˥	2 xia
1694	j a ng X	847	㢡 (xia)	Baxter		?	j a ng X	2 xia
1695	ĭ a ŋ ˩˥	848	㨾 (xia)	Zhou		?	ĭ a ŋ ˩˥	2 xia
1696	j a ng H	848	㨾 (xia)	Baxter		?	j a ng H	2 xia
1697	iw e n ˩	849	㳙 (xia)	Zhou		?	iw e n ˩	2 xia
1698	w e n .	849	㳙 (xia)	Baxter		?	w e n .	2 xia
211	ĭ ĕ m ˥	106	㾕 (xia)	Zhou	dʒʰĭĕm˥	?	ĭ ĕ m ˥	0 xia
212	. i m X	106	㾕 (xia)	Baxter	dʒʰĭĕm˥	?	. i m X	0 xia
3325		1662	䁝 (xia)	Baxter			w o ng X	
3326	w ɐ ŋ ˥	1662	䁝 (xia)	Zhou			w ɐ ŋ ˥	
1699	ĭw ɐ m ˥˩	850	䒦 (xia)	Zhou		?	ĭw ɐ m ˥˩	2 xia
1700	j o m .	850	䒦 (xia)	Baxter		?	j o m .	2 xia
1701	ĭ ĕ m ˩˥	851	䕃 (xia)	Zhou		?	ĭ ĕ m ˩˥	2 xia
1702	. i m H	851	䕃 (xia)	Baxter		?	. i m H	2 xia
1703	ĭu ĕ t .	852	䘏 (xia)	Zhou		?	ĭu ĕ t .	2 xia
