Reading_Zhou	Reading_Baxter	Pinyin	Fanqie	Segments	Structure	Gloss	Guangyun_ID
bʰ ai ˥	bje	! pí / bà	薄蟹切	b j e /¹	i m n t	wear out, exhaust	w319b1005
bʰ ai ˥	bɛX	bà	薄蟹切	b ɛ /²	i n t	stop, cease	w319b1005
bʰ ai ˩˥	bɛH	bài	傍卦切	b ɛ /³	i n t	weed resembling grain	w423b0204
bʰ an ˥	pjonX	bǎn	扶板切	p j o n /²	i m n c t	slope, bank	w328a0102
bʰ au ˩	bæw	páo	薄交切	b æ w /¹	i n c t	gourd	w212b0401
bʰ i ei ˩	bej	pí	部迷切	b e j /¹	i n c t	small hand-drum	w141b0904
bʰ i e n ˥	penX	! biǎn / biàn	薄泫切	p e n /²	i n c t	flat and thin	w329b0204
bʰ i e t 	pit	! bì / bié	蒲結切	p i t /⁴	i n c t	shaft, handle (of a weapon)	w525b0201
bʰ i e ŋ ˥	bengX	bìng	蒲迥切	b e ŋ /²	i n c t	side by side, together	w344b0801
bʰ i e ŋ ˩	beng	píng	薄經切	b e ŋ /¹	i n c t	pitcher	w234a0901
bʰ i e ŋ ˩	beng	píng	薄經切	b e ŋ /¹	i n c t	screen; to protect	w234a0904
bʰ i ˥	bjijX	pìn	扶履切	b j i j /²	i m n c t	female of animals	w309a0202
bʰ i ˥	bjinX	pìn	扶履切	b j i n /²	i m n c t	female of animals	w309a0202
bʰ i ˥	pjuwX	fǒu	符鄙切	p j u w /²	i m n c t	not	w309a1002
bʰ i ˩	bjij	! pí / 	房脂切	b j i j /¹	i m n c t	assist	w122b0401
bʰ i ˩	bjij	! pí / 	房脂切	b j i j /¹	i m n c t	tiger-like animal	w122b0504
bʰ i ˩	pjijH	! bì / 	房脂切	p j i j /³	i m n c t	combine; all	w122b0402
bʰ i ˩	pjijX	! bǐ / 	房脂切	p j i j /²	i m n c t	compare	w122b0402
bʰ i ˩˥	bijH	bèi	平祕切	b i j /³	i n c t	complete (adj.)	w407a0906
bʰ i ˩˥	bjijH	bí	毗至切	b j i j /³	i m n c t	nose	w409a0201
bʰ i ˩˥	bjijH	bí	毗至切	b j i j /³	i m n c t	smell (v.t.)	w409a0201
bʰ i ˩˥	pjijH	! bì / bí	毗至切	p j i j /³	i m n c t	combine; all	w409a0202
bʰ i ˩˥	pjijX	! bǐ / bí	毗至切	p j i j /²	i m n c t	compare	w409a0202
bʰ u k	bawH	bào	蒲木切	b a w /³	i n c t	violent	w503a1006
bʰ u k	buwk	! pù / bào	蒲木切	b u kʷ /⁴	i n c t	expose to sun	w503a1006
bʰ u k	buwk	! pù / bào	蒲木切	b u kʷ /⁴	i n c t	expose to the sun	w503b0101
bʰ u k	buwk	! pú / bào	蒲木切	b u kʷ /⁴	i n c t	charioteer, servant	w503b0106
bʰ u k	buwk	bào	蒲木切	b u kʷ /⁴	i n c t	waterfall?	w503b0102
bʰ u k	phæwk	! pǔ / bào	蒲木切	pʰ æ kʷ /⁴	i n c t	unworked wood	w503b0105
bʰ u o k	buwk	pú	蒲沃切	b u kʷ /⁴	i n c t	charioteer, servant	w507b0407
bʰ u ŋ ˩	phjowng	! fēng / péng	薄紅切	pʰ j o ŋʷ /¹	i m n c t	bee	w112b0303
bʰ u ɑ k	bak	! bó / pō	傍各切	b a k /⁴	i n c t	thin	w531a0602
bʰ u ɑ k	buX	! bù / pō	傍各切	b u /²	i n t	register (n.)	w531a0604
bʰ u ɑ n ˥	banX	bàn	蒲旱切	b a n /²	i n c t	comrade	w327b0303
bʰ u ɑ n ˩	ban	pán	薄官切	b a n /¹	i n c t	tray, basin	w159b0506
bʰ u ɑ n ˩	bjon	! fán / pán	薄官切	b j o n /¹	i m n c t	abundant, numerous	w159b0702
bʰ u ɑ n ˩˥	banH	pàn	薄半切	b a n /³	i n c t	bank between fields	w433b0802
bʰ u ɑ n ˩˥	banX	! bàn / pàn	薄半切	b a n /²	i n c t	comrade	w433b0803
bʰ u ɑ t	bat	bá	蒲撥切	b a t /⁴	i n c t	halt in the open	w521a0907
bʰ u ɑ t	bɛt	bá	蒲撥切	b ɛ t /⁴	i n c t	uproot	w521a0703
bʰ u ɑ t	pat	bá	蒲撥切	p a t /⁴	i n c t	halt in the open	w521a0907
bʰ u ɑ ˩	ba	pó	薄波切	b a /¹	i n t	ba.sa saunter, dance	w216b0603
bʰ u ɑ ˩	ba	pó	薄波切	b a /¹	i n t	white, white-haired	w216b0701
bʰ u ɑ ˩	bjon	! fán / pó	薄波切	b j o n /¹	i m n c t	abundant, numerous	w216b0703
bʰ u ɑ ˩˥	bjak	fù	符臥切	b j a k /⁴	i m n c t	bind (v.)	w442a0202
bʰ u ɒi ˩˥	bwojH	! bèi / pèi	蒲昧切	b w o j /³	i m n c t	comet	w425a0702
bʰ u ɒi ˩˥	bwojH	! bèi / pèi	蒲昧切	b w o j /³	i m n c t	confused	w425a0804
bʰ u ɒi ˩˥	bwojH	! bèi / pèi	蒲昧切	b w o j /³	i m n c t	turn the back on	w425a0802
bʰ u ɒi ˩˥	bwojH	! bèi / pèi	蒲昧切	b w o j /³	i m n c t	turn the back on	w425a0805
bʰ u ɒi ˩˥	bwojH	pèi	蒲昧切	b w o j /³	i m n c t	to wear at girdle, pendants	w425a0606
bʰ u ɒi ˩˥	pwojH	! bèi / pèi	蒲昧切	p w o j /³	i m n c t	the back	w425a0805
bʰ u ə n ˩	bwon	pén	蒲奔切	b w o n /¹	i m n c t	bowl, basin	w156a0704
bʰ u ə t	bwojH	! bèi / bó	蒲沒切	b w o j /³	i m n c t	comet	w517b0601
bʰ u ə t	bwojH	! bèi / bó	蒲沒切	b w o j /³	i m n c t	confused	w517b0405
bʰ u ə t	bwot	bó	蒲沒切	b w o t /⁴	i m n c t	annoyed looks	w517b0602
bʰ u ə t	phjut	! fú / bó	蒲沒切	pʰ j u t /⁴	i m n c t	annoyed looks	w517b0602
bʰ u ˥	buX	bù	裴古切	b u /²	i n t	register (n.)	w317b0504
bʰ u ˥	buwX	bù	裴古切	b u w /²	i n c t	lead (v.), govern	w317b0601
bʰ u ˩	bu	pú	薄胡切	b u /¹	i n t	crawl	w136b1001
bʰ u ˩	bu	pú	薄胡切	b u /¹	i n t	part of personal name	w137a0103
bʰ u ˩	phæwk	! pǔ / pú	薄胡切	pʰ æ kʷ /⁴	i n c t	unworked wood	w136b1004
bʰ u ˩˥	buH	! bù / bǔ	薄故切	b u /³	i n t	step	w416b0304
bʰ u ˩˥	buH	bǔ	薄故切	b u /³	i n t	food held in the mouth	w416b0303
bʰ æi ˩˥	bæjH	bài	薄邁切	b æ j /³	i n c t	suffer defeat	w424b0905
bʰ æi ˩˥	pæjH	bài	薄邁切	p æ j /³	i n c t	defeat (v.t.)	w424b0905
bʰ æ n ˩˥	bjenX	! biàn / bàn	蒲莧切	b j e n /²	i m n c t	distinguish	w434b0205
bʰ æ n ˩˥	bɛnH	! biàn / bàn	蒲莧切	b ɛ n /³	i n c t	discriminate	w434b0302
bʰ æ n ˩˥	bɛnH	bàn	蒲莧切	b ɛ n /³	i n c t	manage, deal with	w434b0206
bʰ æ t 	bɛt	bá	蒲八切	b ɛ t /⁴	i n c t	uproot	w521b0106
bʰ æ ŋ ˩	bong	péng	薄萌切	b o ŋ /¹	i n c t	awning, sail	w230a1002
bʰ ĭ e ˥	bje	! pí / bèi	皮彼切	b j e /¹	i m n t	wear out, exhaust	w305a0704
bʰ ĭ e ˥	bjeX	bèi	皮彼切	b j e /²	i m n t	cover self with	w305a0703
bʰ ĭ e ˥	bjieX	bì	便俾切	b j/ji e /²	i m n t	female slave or servant	w307a0701
bʰ ĭ e ˥	bjieX	bì	便俾切	b j/ji e /²	i m n t	low, short	w307a0702
bʰ ĭ e ˥	bɛX	! bà / bèi	皮彼切	b ɛ /²	i n t	stop, cease	w305a0704
bʰ ĭ e ˥	phje	! pī / bèi	皮彼切	pʰ j e /¹	i m n t	cover oneself with	w305a0703
bʰ ĭ e ˥	phjeH	! pì / bèi	皮彼切	pʰ j e /³	i m n t	cloak	w305a0703
bʰ ĭ e ˩	bje	pí	符羈切	b j e /¹	i m n t	skin	w119a0401
bʰ ĭ e ˩	bje	pí	符羈切	b j e /¹	i m n t	wear out, exhaust	w119a0404
bʰ ĭ e ˩	bɛX	! bà / pí	符羈切	b ɛ /²	i n t	stop, cease	w119a0404
bʰ ĭ e ˩˥	bjeX	! bèi / bì	平義切	b j e /²	i m n t	cover self with	w405a0301
bʰ ĭ e ˩˥	bjieH	bì	毗義切	b j/ji e /³	i m n t	avoid	w404b0405
bʰ ĭ e ˩˥	phje	! pī / bì	平義切	pʰ j e /¹	i m n t	cover oneself with	w405a0301
bʰ ĭ e ˩˥	phjeH	! pì / bì	平義切	pʰ j e /³	i m n t	cloak	w405a0301
bʰ ĭ u k	bjuwH	! fù / fú	房六切	b j u w /³	i m n c t	again	w504a0501
bʰ ĭ u k	bjuwH	fú	房六切	b j u w /³	i m n c t	hatch (v.)	w504a0402
bʰ ĭ u k	bjuwX	! fù / fú	房六切	b j u w /²	i m n c t	box of a carriage	w504a0602
bʰ ĭ u k	bjuwk	! fù / fú	房六切	b j u kʷ /⁴	i m n c t	return	w504a0501
bʰ ĭ u k	bjuwk	! fù / fú	房六切	b j u kʷ /⁴	i m n c t	support under box of carriage	w504a0704
bʰ ĭ u k	bjuwk	fú	房六切	b j u kʷ /⁴	i m n c t	a quiver	w504a0802
bʰ ĭ u k	bjuwk	fú	房六切	b j u kʷ /⁴	i m n c t	crawl (bu.bjuwk)	w504a0909
bʰ ĭ u k	bjuwk	fú	房六切	b j u kʷ /⁴	i m n c t	fullness	w504a0904
